symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
DSAQ,2022-01-01,11.58,,,12.4,0.82,,1.37,0.0,,2.3,0.11,0.82,,0.03,1.37,2.3,,,,,,,
CFFS,2022-01-01,0.07,,0.15,1.55,1.33,,0.02,0.0,,0.84,0.47,1.33,,0.06,0.02,0.84,,,,,,,
MPRA,2022-01-01,13.73,,,14.67,0.94,,0.0,0.0,0.14,0.6,0.33,0.94,,0.03,0.0,0.74,,,,,,,
APCA,2022-01-01,1.23,,0.38,2.36,0.76,,0.0,0.0,,0.0,0.76,0.76,,0.04,0.0,,,,,,,,
FNVT,2022-01-01,1.11,,,1.88,0.77,,0.0,0.0,,0.0,0.77,0.77,,0.18,0.0,0.0,,,,,,,
MNTN,2022-01-01,0.16,,,1.59,1.43,,0.38,0.0,0.17,0.17,1.22,1.43,,0.07,0.38,0.0,,,,,,,
BOAC,2022-01-01,32.49,,0.09,33.5,0.92,,536.49,536.49,,536.49,0.92,0.92,,0.01,536.49,,,,,,,,
BOAC,2021-01-01,50.73,,0.11,52.05,1.21,,0.0,0.0,,0.0,1.21,1.21,,0.02,0.0,,,,,,,,
TWCB,2022-01-01,2.49,,,3.21,0.72,,0.83,0.0,0.07,0.07,0.04,0.72,,0.03,0.0,0.0,,,,0.83,,,
TCOA,2022-01-01,0.38,,,2.12,1.73,,0.0,0.0,0.1,0.09,1.82,1.73,,0.08,0.0,0.01,,,,,,,
SEPA,2022-01-01,7.71,,,8.75,1.04,,185.0,161.96,,161.0,22.97,1.04,,0.05,185.0,0.96,,,,,,,
GFOR,2022-01-01,4.55,,,6.12,1.57,,0.57,0.0,0.09,0.09,1.09,1.57,,0.07,0.0,0.0,,,,0.57,,,
CLBR,2022-01-01,5.8,,,6.44,0.65,,0.0,0.0,,0.0,0.65,0.65,,0.03,0.0,,,,,,,,
BSAQ,2022-01-01,12.02,,0.0,14.13,2.12,,0.0,0.0,,0.57,1.54,2.12,,0.1,0.0,0.57,,,,,,,
SAMA,2022-01-01,0.92,,0.0,0.33,1.25,,0.51,0.0,,0.0,0.74,1.25,,0.06,0.51,,,,,,,,
HHLA,2022-01-01,17.69,,,18.57,0.88,,0.0,0.0,,0.5,0.38,0.88,,0.02,0.0,0.5,,,,,,,
RCAC,2022-01-01,1.14,,,2.35,1.21,,14.82,15.15,,14.96,1.07,1.21,,0.06,14.82,0.19,,,,,,,
AACI,2022-01-01,3.62,,0.11,2.6,0.91,,0.18,0.0,,0.25,0.48,0.91,,0.04,0.18,0.25,,,,,,,
FACT,2022-01-01,5.98,,,7.41,1.43,,0.0,0.0,,1.23,0.2,1.43,,0.03,0.0,1.23,,,,,,,
PRPC,2022-01-01,34.05,,,34.56,0.51,,0.0,0.0,,0.0,0.51,0.51,,0.01,0.0,0.0,,,,,,,
JAQC,2022-01-01,3.43,,,4.6,1.17,,0.14,0.0,,0.0,1.03,1.17,,0.06,0.14,0.0,,,,,,,
BYTS,2022-01-01,10.63,,,11.24,0.61,,0.0,0.0,,0.0,0.61,0.61,,0.01,0.0,0.0,,,,,,,
ALPA,2022-01-01,0.2,,,0.69,0.49,,0.0,0.0,0.1,0.1,0.59,0.49,,0.03,0.0,0.0,,,,,,,
ARYE,2022-01-01,1.22,,,1.61,0.39,,0.0,0.0,,0.0,0.39,0.39,,0.02,0.0,0.0,,,,,,,
MCAA,2022-01-01,1.23,,,1.5,0.27,,0.0,0.0,,0.0,0.27,0.27,,0.01,0.0,0.0,,,,,,,
MITA,2022-01-01,7.6,,,8.17,0.57,,0.0,0.0,,0.0,0.57,0.57,,0.03,0.0,,,,,,,,
APMI,2022-01-01,5.93,,,6.35,0.41,,0.0,0.0,,0.0,0.41,0.41,,0.02,0.0,,,,,,,,
GSQB,2022-01-01,6.17,,,6.7,0.53,,0.0,0.0,0.09,0.09,0.62,0.53,,0.03,0.0,0.0,,,,,,,
LFAC,2022-01-01,1.98,,,3.84,1.86,,0.98,0.0,,0.63,0.26,1.86,,0.06,0.98,0.63,,,,,,,
SWAG,2022-01-01,0.78,0.73,0.33,2.69,2.41,0.63,11.65,2.03,0.89,2.91,16.97,3.04,5.16,0.16,9.97,0.0,,,,1.05,,,
SWAG,2021-01-01,0.24,0.45,0.15,6.13,5.29,0.39,0.39,39.6,0.54,37.26,31.58,5.68,14.31,0.52,0.0,1.8,,,,,,,
SWAG,2020-01-01,1.03,0.22,0.0,3.24,1.99,0.18,0.18,0.0,0.04,0.38,1.79,2.17,5.74,0.22,0.0,0.42,,,,,,,
ITAQ,2022-01-01,4.89,,,6.27,1.38,,175.95,170.09,7.8,177.76,0.43,1.38,,0.07,175.95,0.13,,,,,,,
LGST,2022-01-01,4.41,,,4.62,0.22,,0.0,0.0,,0.0,0.22,0.22,,0.0,0.0,,,,,,,,
PUCK,2022-01-01,0.3,,,0.76,1.06,,0.28,0.0,,0.78,0.0,1.06,,0.03,0.28,0.78,,,,,,,
PUCK,2021-01-01,1.28,,,0.05,1.23,,258.75,253.58,6.25,259.96,0.02,1.23,,0.04,258.75,0.13,,,,,,,
NBST,2022-01-01,1.29,,,0.19,1.1,,0.35,0.0,,0.4,0.35,1.1,,0.07,0.35,0.4,,,,,,,
FRBN,2022-01-01,0.03,,,0.79,0.76,,0.0,0.0,,0.0,0.76,0.76,,0.05,0.0,,,,,,,,
BRKH,2022-01-01,1.67,,,3.05,1.37,,0.0,0.0,,0.14,1.52,1.37,,0.04,0.0,0.14,,,,,,,
TOAC,2022-01-01,11.45,,1.51,13.87,0.91,,0.0,0.0,,0.09,1.0,0.91,,0.03,0.0,0.09,,,,,,,
IFIN,2022-01-01,1.11,,,0.36,0.76,,3.0,0.0,,3.0,0.76,0.76,,0.03,3.0,3.0,,,,,,,
VAQC,2022-01-01,5.8,,,6.22,0.42,,0.0,0.0,,0.3,0.12,0.42,,0.01,0.0,0.3,,,,,,,
ARYD,2022-01-01,1.07,,,1.55,0.49,,0.0,0.0,0.05,0.08,0.41,0.49,,0.03,0.0,0.12,,,,,,,
ARYD,2021-01-01,6.56,,,5.49,1.07,,149.5,154.49,3.38,151.07,0.5,1.07,,0.07,149.5,0.03,,,,,,,
FMIV,2022-01-01,7.64,,,10.17,2.53,,1.06,0.0,,0.0,1.47,2.53,,0.06,1.06,,,,,,,,
SMAP,2022-01-01,0.04,,,1.05,1.02,,0.31,0.0,,0.0,0.71,1.02,,0.07,0.31,0.0,,,,,,,
FLME,2022-01-01,2.59,,,0.88,1.71,,0.79,0.0,,0.71,0.22,1.71,,0.05,0.79,0.71,,,,,,,
KRNL,2022-01-01,15.66,,,15.97,0.31,,0.0,0.0,0.07,0.07,0.38,0.31,,0.01,0.0,0.0,,,,,,,
KYCH,2022-01-01,0.84,,,1.55,0.7,,116.15,120.45,3.34,116.96,0.11,0.7,,0.05,116.15,0.15,,,,,,,
GLLI,2022-01-01,0.22,,,0.95,0.73,,0.0,0.0,,0.0,0.73,0.73,,0.21,0.0,,,,,,,,
ROSS,2022-01-01,14.87,,,15.97,1.1,,0.0,0.0,,0.0,1.1,1.1,,0.03,0.0,0.0,,,,,,,
ALSA,2022-01-01,1.11,,,1.38,0.28,,1.53,0.0,,1.53,0.28,0.28,,0.02,1.53,1.53,,,,,,,
BCSA,2022-01-01,9.35,,,9.89,0.54,,0.0,0.0,0.1,0.41,0.13,0.54,,0.01,0.0,0.51,,,,,,,
ROCL,2022-01-01,0.72,,,0.97,0.24,,0.03,0.0,,0.0,0.21,0.24,,0.02,0.03,,,,,,,,
