symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
BRKL,2019-01-01,1313.0,18.04,2163.0,14.97,4.8,1.39,13.44,12.78,7.91,17.61,18.65,22.13,,0.04,9.5,1.1,1.4,6.68,7.44,0.07,2.74,0.98,7.55,9.49,2.68,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2018-01-01,1112.0,7.57,1943.0,13.39,4.15,1.24,9.29,9.04,7.25,16.66,17.79,16.24,,0.04,9.4,1.1,1.3,7.47,10.76,6.81,3.98,1.02,7.89,7.69,2.84,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2017-01-01,1203.0,4.04,2163.0,23.82,5.09,1.5,16.4,14.17,9.15,21.34,22.98,29.48,,0.04,6.5,0.8,1.3,4.2,6.1,6.2,3.96,1.27,10.07,13.91,2.24,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2016-01-01,1157.0,43.33,2133.0,22.09,5.36,1.66,15.92,14.84,9.88,23.75,25.78,29.36,,0.03,7.6,0.8,1.2,4.53,6.28,0.3,1.9,1.5,11.62,14.37,2.19,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2015-01-01,807.0,14.91,1715.0,16.21,3.9,1.21,13.49,12.49,8.28,19.89,21.67,28.66,,0.04,7.6,0.9,1.2,6.17,7.41,0.26,2.83,1.47,11.4,16.43,3.09,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2014-01-01,702.0,4.82,1766.0,16.23,3.5,1.09,8.95,8.33,8.8,23.06,25.38,22.5,,0.04,6.9,0.8,1.1,6.16,11.17,0.24,3.15,1.76,14.71,14.35,3.39,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2013-01-01,670.0,12.48,1390.0,18.6,3.7,1.09,11.59,9.05,7.68,22.08,24.53,24.04,,0.04,5.9,0.7,1.0,5.38,8.63,0.2,3.35,1.32,12.9,14.05,3.55,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2022-01-01,587.0,10.89,4242.0,6.38,3.52,0.55,0.63,0.63,25.45,44.77,46.09,4.58,,0.02,8.9,1.1,0.8,15.68,157.94,6.42,12.61,4.58,51.68,5.28,6.19,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2021-01-01,659.0,5.06,3357.0,10.51,6.32,0.66,0.68,0.68,32.21,50.71,53.54,3.45,,0.02,6.2,0.9,0.7,9.52,147.75,2.17,8.06,3.98,59.69,4.06,5.89,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2020-01-01,627.0,25.84,1833.0,9.86,6.32,0.6,0.55,0.55,18.49,26.99,28.83,1.6,,0.02,6.2,0.9,0.8,10.14,182.37,0.2,6.97,1.99,30.47,1.81,7.18,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2019-01-01,845.0,23.93,2962.0,9.82,6.67,0.83,4.36,4.38,23.38,33.05,34.42,15.29,,0.02,8.6,1.2,0.9,10.18,22.92,0.08,7.13,3.24,36.77,17.01,7.21,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2018-01-01,682.0,35.25,2495.0,61.24,5.35,0.69,2.45,2.45,19.55,183.49,223.98,8.96,,0.02,1.1,0.2,0.1,1.63,40.83,0.54,8.38,3.58,261.71,12.78,8.93,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2017-01-01,1053.0,8.18,2593.0,12.85,7.62,1.01,1.81,1.8,18.75,30.72,31.62,4.46,,0.02,8.0,1.2,1.0,7.78,55.19,0.3,5.45,2.12,26.2,3.8,5.75,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2016-01-01,1147.0,14.1,3344.0,13.18,6.83,1.13,1.84,1.82,19.91,37.52,38.42,5.35,,0.02,8.8,1.1,0.8,7.59,54.46,0.25,5.02,3.23,36.65,5.23,5.26,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2015-01-01,1005.0,13.4,4147.0,9.67,5.78,1.03,3.75,3.75,23.85,39.14,39.88,15.49,,0.02,11.0,1.3,0.9,10.34,26.63,0.59,3.9,4.57,41.92,16.59,4.49,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2014-01-01,1161.0,8.63,4887.0,11.34,6.93,1.27,4.35,4.36,29.16,46.61,47.74,18.33,,0.02,11.6,1.3,0.9,8.82,22.96,0.91,5.07,4.95,42.98,16.9,5.98,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLX,2013-01-01,1069.0,33.51,4370.0,12.61,7.92,1.24,19.76,19.59,32.4,49.95,51.57,80.82,,0.02,10.1,1.2,0.8,7.93,5.06,1.57,2.76,4.82,47.33,76.58,4.33,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2022-01-01,,,579.0,0.0,0.0,0.0,,,2.27,2.54,2.56,4.03,459.9,0.04,20.44,2.01,3.3,,0.0,0.13,,9.19,0.74,1.18,,19.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2021-01-01,1067.0,42.06,207.0,11.21,5.51,1.82,8.97,8.92,1.07,1.29,1.3,1.74,2093.94,0.03,16.23,1.58,2.84,8.92,11.15,1.16,2.14,9.31,1.06,1.43,2.01,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2020-01-01,751.0,16.99,130.0,10.81,4.17,1.43,7.35,7.24,0.72,0.93,0.95,1.27,805.49,0.04,13.22,1.35,2.68,9.25,13.61,0.0,3.55,8.79,0.85,1.15,2.38,25.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2019-01-01,905.0,38.65,526.0,11.55,5.3,1.93,11.22,10.43,3.08,3.01,3.03,6.52,227.92,0.04,16.67,1.69,3.36,8.66,8.91,3.91,2.02,8.85,0.68,1.48,2.02,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2018-01-01,653.0,22.5,226.0,9.19,4.0,1.57,6.78,6.59,1.39,1.61,1.62,2.35,105.78,0.04,17.04,1.68,3.18,10.88,14.75,3.61,1.52,9.12,0.71,1.04,2.39,22.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2017-01-01,842.0,15.73,501.0,19.41,6.24,2.37,16.25,15.84,3.71,4.58,4.62,9.66,169.33,0.04,12.22,1.15,2.03,5.15,6.15,2.26,2.3,9.62,0.96,2.03,1.31,25.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2016-01-01,728.0,63.45,547.0,20.01,6.69,2.44,14.0,13.83,5.03,6.89,6.97,10.52,161.21,0.03,12.2,1.13,1.83,5.0,7.14,0.42,1.1,9.81,1.58,2.41,1.16,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2015-01-01,445.0,20.12,176.0,14.97,5.05,1.69,17.03,15.77,1.99,2.85,2.88,6.72,247.06,0.03,11.26,1.14,1.8,6.68,5.87,1.91,0.99,8.84,0.43,1.02,1.42,21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2014-01-01,371.0,40.94,175.0,15.07,4.89,1.58,8.74,8.65,2.32,3.46,3.5,4.14,262.32,0.04,10.46,1.2,1.86,6.63,11.44,0.88,1.55,7.74,0.39,0.47,0.36,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFBC,2013-01-01,263.0,41.91,56.0,13.7,4.08,1.27,8.06,7.94,0.87,1.41,1.44,1.73,382.96,0.04,9.28,1.09,1.82,7.3,12.41,,0.88,7.55,0.5,0.61,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2022-01-01,861.0,16.53,1433.0,9.81,2.88,1.12,3.97,3.91,4.8,12.04,12.49,6.61,,0.04,11.4,1.2,1.5,10.19,25.18,0.62,2.19,0.98,6.32,3.47,1.57,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2021-01-01,1031.0,73.02,1519.0,11.21,3.33,1.23,14.23,13.86,4.91,11.67,12.23,20.96,,0.05,11.2,1.4,1.8,8.92,7.03,2.26,3.36,0.77,4.96,8.91,1.1,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2020-01-01,596.0,20.21,1270.0,16.25,2.71,0.74,5.67,5.47,5.77,21.85,24.59,12.08,,0.04,4.7,0.6,0.8,6.15,17.64,1.07,0.3,0.94,13.03,7.21,0.78,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2019-01-01,747.0,23.49,1243.0,13.29,2.98,1.0,29.82,25.49,4.95,14.86,16.09,49.63,,0.05,7.8,1.1,1.4,7.53,3.35,5.13,4.98,0.77,6.89,23.03,0.15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2018-01-01,605.0,10.15,979.0,14.97,2.89,0.93,7.68,7.57,4.68,16.04,17.66,12.42,,0.05,6.8,0.9,1.2,6.68,13.03,23.88,23.88,0.76,8.13,6.29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2017-01-01,673.0,,1035.0,64.63,4.23,1.47,27.69,25.07,6.5,22.51,25.38,42.58,,0.05,2.5,0.3,1.1,1.55,3.61,0.22,0.22,0.92,9.14,17.29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2016-01-01,,,332.0,,,,,,3.13,31.49,60.54,597.13,,0.04,23.4,2.3,0.2,,,,,0.99,35.9,680.83,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2022-01-01,1228.0,13.68,2451.0,8.45,2.98,1.05,4.19,4.16,5.94,11.13,11.57,8.36,,0.03,12.6,1.2,1.6,11.83,23.89,4.65,7.67,1.19,6.33,4.75,3.02,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2021-01-01,1422.0,197.7,1319.0,14.71,3.62,1.19,9.72,9.72,3.35,8.45,8.9,9.01,,0.03,8.1,0.8,1.2,6.8,10.29,104.73,102.0,0.24,1.86,1.98,2.73,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2020-01-01,478.0,28.16,1712.0,12.73,2.77,0.68,8.1,7.97,9.91,28.51,31.14,29.03,,0.03,6.8,0.6,0.9,7.86,12.34,0.38,4.35,2.11,24.61,25.06,3.97,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2019-01-01,665.0,31.83,1109.0,18.38,4.68,1.34,9.96,9.71,7.79,21.35,23.66,16.61,,0.03,7.5,0.8,0.9,5.44,10.04,0.22,2.53,1.13,10.8,8.4,2.74,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2018-01-01,505.0,26.87,529.0,12.86,3.44,1.11,9.51,8.64,3.61,10.13,10.93,9.97,,0.03,8.9,0.9,1.0,7.78,10.52,0.42,3.19,0.7,6.13,6.03,3.61,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2017-01-01,690.0,4.13,1226.0,33.59,5.26,1.61,15.41,14.73,9.34,28.31,31.05,27.39,,0.03,4.7,0.5,0.8,2.98,6.49,12.76,10.13,1.47,14.57,14.1,2.63,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2016-01-01,662.0,25.23,1240.0,18.67,5.04,1.62,16.58,14.98,9.44,20.52,22.84,31.02,,0.03,9.6,0.9,1.3,5.36,6.03,0.54,1.88,1.69,11.44,17.29,2.43,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2015-01-01,529.0,69.74,987.0,25.06,5.05,1.55,19.45,16.78,9.42,33.41,30.95,36.29,,0.03,7.1,0.6,0.9,3.99,5.14,49.21,46.19,1.65,19.04,20.68,3.02,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2014-01-01,312.0,7.26,525.0,22.65,4.25,1.78,15.14,12.07,7.16,24.12,25.02,25.53,,0.03,8.0,0.6,0.9,4.42,6.6,4.25,0.81,1.52,12.19,12.9,3.44,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOM,2013-01-01,291.0,62.23,434.0,22.19,5.04,1.82,13.84,11.61,7.53,20.04,21.98,20.68,,0.03,10.1,0.8,1.1,4.51,7.23,26.92,24.26,1.19,8.74,9.02,2.65,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2022-01-01,838.0,4.04,1480.0,8.46,2.76,1.09,9.58,7.06,4.88,11.93,13.03,16.92,,0.04,13.6,1.4,1.5,11.82,10.44,5.93,5.44,1.07,6.66,9.44,0.48,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2021-01-01,873.0,39.69,919.0,8.83,3.17,1.29,11.5,9.9,3.34,7.13,7.57,12.1,,0.05,15.4,1.7,2.1,11.32,8.7,0.05,0.49,0.25,1.33,2.25,0.44,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2020-01-01,625.0,9.74,645.0,10.32,2.78,1.05,5.79,5.57,2.87,7.99,8.81,5.98,,0.04,10.7,1.1,1.3,9.69,17.27,0.09,0.71,0.3,2.19,1.64,0.61,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2019-01-01,693.0,37.73,738.0,12.07,3.05,1.29,10.4,9.06,3.25,9.28,10.24,11.07,,0.04,11.2,1.1,1.4,8.29,9.62,5.99,5.44,0.52,3.51,4.19,0.55,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2018-01-01,503.0,15.49,663.0,11.67,2.94,1.06,9.52,7.83,3.87,11.37,12.71,12.55,,0.04,10.4,1.0,1.1,8.57,10.5,10.12,9.4,0.86,6.95,7.67,0.72,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2017-01-01,595.0,5.12,743.0,16.67,4.31,1.69,21.29,17.65,5.38,16.29,18.28,26.58,,0.04,11.3,1.0,1.1,6.0,4.7,7.16,6.7,0.88,6.79,11.07,0.46,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2016-01-01,566.0,98.53,700.0,20.45,4.8,1.98,15.16,13.05,5.93,17.31,19.14,18.75,,0.04,10.3,0.9,1.2,4.89,6.6,21.58,21.22,1.02,7.19,7.79,0.36,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2015-01-01,285.0,101.05,631.0,16.85,3.04,1.26,11.09,9.48,6.73,26.46,30.66,24.57,,0.04,8.4,0.7,0.7,5.94,9.01,30.45,30.16,1.97,18.61,17.28,0.29,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2014-01-01,142.0,43.19,684.0,10.23,1.7,0.99,6.02,5.54,8.19,32.57,38.02,29.03,,0.03,9.9,0.6,0.6,9.78,16.61,42.53,42.08,4.6,31.54,28.12,0.45,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCRH,2013-01-01,99.0,53.56,548.0,8.42,1.17,0.67,3.35,3.09,6.45,24.43,28.02,18.51,,0.04,8.1,0.5,0.7,11.88,29.89,14.79,14.33,3.82,25.12,19.03,0.46,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2022-01-01,823.0,5.76,986.0,10.06,3.71,1.31,8.75,8.26,4.44,9.28,9.76,10.48,,0.04,13.0,1.5,1.8,9.94,11.43,0.26,3.38,0.46,2.75,3.1,3.64,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2021-01-01,778.0,17.92,809.0,8.85,3.38,1.11,6.82,6.73,3.52,7.0,7.31,7.09,,0.04,12.9,1.6,2.1,11.3,14.67,0.27,3.32,0.49,2.96,3.0,3.59,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2020-01-01,660.0,20.44,750.0,11.09,3.48,1.01,10.84,10.58,3.96,9.92,10.68,12.32,,0.04,9.4,1.2,1.4,9.02,9.23,0.09,4.03,0.65,5.67,7.04,4.12,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2019-01-01,829.0,18.08,873.0,12.85,4.36,1.35,10.25,9.94,4.59,11.26,12.13,10.79,,0.04,10.8,1.5,1.7,7.78,9.76,0.21,2.96,0.5,3.98,3.81,3.17,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2018-01-01,702.0,15.71,855.0,11.86,3.74,1.25,11.19,10.73,4.55,11.5,12.11,13.62,,0.05,10.8,1.4,1.7,8.43,8.93,0.28,3.19,0.52,3.95,4.68,3.48,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2017-01-01,833.0,4.64,969.0,16.18,4.67,1.57,13.89,13.37,5.43,13.37,14.15,16.16,,0.04,9.9,1.3,1.6,6.18,7.2,0.5,2.26,0.59,4.29,5.19,2.75,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2016-01-01,874.0,42.68,1047.0,18.46,5.03,1.75,15.08,14.23,6.03,14.88,15.76,18.08,,0.04,9.6,1.2,1.6,5.42,6.63,0.47,2.06,0.64,4.52,5.49,2.53,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2015-01-01,612.0,4.06,842.0,13.19,3.59,1.29,11.56,11.14,4.94,12.22,12.96,15.9,,0.05,10.0,1.2,1.6,7.58,8.65,0.49,2.99,0.88,6.06,7.88,3.48,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2014-01-01,638.0,10.55,902.0,14.76,3.79,1.43,11.5,11.1,5.35,13.52,14.45,16.24,,0.05,9.9,1.2,1.6,6.78,8.7,0.91,2.31,0.82,5.53,6.64,3.22,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTBI,2013-01-01,714.0,39.45,890.0,15.8,4.07,1.73,8.05,7.87,5.07,12.77,13.66,10.04,,0.05,11.1,1.2,1.7,6.33,12.42,0.98,1.81,0.69,4.06,3.19,2.79,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2022-01-01,727.0,8.05,931.0,9.57,3.19,1.36,14.4,10.91,4.09,8.96,9.89,18.46,,0.04,14.0,1.4,1.7,10.45,6.94,8.42,11.05,0.7,3.59,7.39,2.62,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2021-01-01,790.0,16.74,318.0,10.59,3.56,1.28,9.9,9.3,1.43,3.01,3.37,3.98,,0.04,12.0,1.4,1.8,9.44,10.1,3.65,6.02,0.4,2.32,3.07,2.36,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2020-01-01,677.0,24.91,461.0,11.41,3.45,1.08,17.54,14.7,2.35,5.41,6.3,11.93,,0.04,9.5,1.1,1.4,8.76,5.7,2.76,7.59,0.55,4.08,9.0,4.83,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2019-01-01,902.0,38.33,1101.0,12.25,4.39,1.5,12.05,10.43,5.37,10.83,12.23,14.72,,0.04,12.7,1.5,1.8,8.17,8.3,0.56,2.71,0.7,4.13,5.61,3.27,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2018-01-01,652.0,10.25,852.0,9.71,3.3,1.23,7.47,6.92,4.32,9.12,10.39,9.77,,0.04,13.4,1.5,1.7,10.3,13.38,0.71,1.9,0.76,4.31,4.62,2.61,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2017-01-01,726.0,4.6,813.0,14.08,3.93,1.54,12.97,11.56,4.41,9.9,11.57,14.53,,0.04,11.3,1.2,1.5,7.1,7.71,0.94,0.88,0.7,4.01,5.88,1.82,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2016-01-01,761.0,21.25,903.0,16.79,4.18,1.77,10.73,9.44,4.95,11.98,14.59,12.73,,0.04,10.9,1.0,1.3,5.96,9.32,0.42,1.19,0.98,5.59,5.94,1.61,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2015-01-01,628.0,15.27,840.0,13.66,3.56,1.58,11.09,8.79,4.76,11.06,13.53,14.84,,0.04,10.7,1.1,1.5,7.32,9.02,1.04,0.86,1.03,5.42,7.27,1.9,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2014-01-01,545.0,31.03,845.0,12.68,3.06,1.3,10.96,8.08,4.74,12.2,14.75,17.01,,0.05,10.6,1.1,1.4,7.89,9.12,0.45,1.57,1.24,7.49,10.45,2.02,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSBC,2013-01-01,416.0,20.16,535.0,12.54,2.82,1.09,5.09,4.43,3.63,9.22,12.77,6.56,,0.04,8.8,0.9,1.1,7.98,19.63,0.56,1.81,0.91,5.99,4.26,2.37,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2022-01-01,958.0,22.04,1732.0,8.28,2.64,1.0,7.26,7.04,4.77,9.31,10.25,13.12,,0.04,12.1,1.2,1.7,12.08,13.77,3.99,5.49,1.04,5.39,7.59,1.51,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2021-01-01,1229.0,66.34,1777.0,24.31,4.62,1.15,11.94,11.63,6.67,17.22,21.5,17.26,,0.03,5.7,0.6,0.9,4.11,8.37,24.72,23.49,0.73,7.52,7.53,1.22,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2020-01-01,739.0,15.46,1335.0,670.02,3.46,0.82,10.59,9.87,6.25,41.49,92.96,19.13,,0.03,0.1,0.0,0.2,0.15,9.44,1.27,2.9,0.91,25.38,11.71,1.63,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2019-01-01,874.0,29.67,1893.0,333.15,3.9,0.96,12.53,10.89,8.43,40.62,67.65,27.13,,0.03,0.3,0.0,0.3,0.3,7.98,0.46,1.35,1.53,29.87,19.95,1.8,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2018-01-01,674.0,35.4,1976.0,29.51,2.42,0.71,5.7,5.48,7.08,30.18,38.3,16.72,,0.03,2.4,0.2,0.4,3.39,17.53,0.23,3.68,1.79,25.86,14.33,3.91,115.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2017-01-01,1044.0,20.96,2524.0,28.88,3.11,1.03,1.9,1.85,7.53,50.07,74.11,4.59,,0.03,3.6,0.3,0.3,3.46,52.74,1.63,0.89,1.85,37.05,3.39,2.52,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2016-01-01,863.0,56.07,1157.0,9.03,2.14,0.88,32.5,47.63,2.86,6.97,7.74,43.57,,0.04,10.2,0.9,1.3,11.07,3.08,31.51,28.69,0.75,4.42,27.63,2.82,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2015-01-01,553.0,68.3,1589.0,10.58,1.98,0.85,7.31,12.86,5.68,13.32,15.24,21.01,,0.04,8.6,0.7,1.4,9.45,13.68,32.04,28.75,1.83,9.99,15.76,3.28,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2014-01-01,328.0,31.64,824.0,12.36,1.13,0.65,0.51,0.52,2.84,22.04,31.13,1.29,,0.06,6.2,0.6,0.5,8.09,194.58,53.9,49.72,1.44,19.44,1.14,4.18,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANC,2013-01-01,250.0,72.55,472.0,109.97,1.34,0.77,0.51,0.57,2.54,31.78,59.65,0.96,,0.06,0.8,0.1,0.3,0.91,196.56,57.88,54.3,1.02,22.39,0.68,3.58,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2022-01-01,2704.0,48.95,3095.0,6.69,2.02,0.68,4.65,3.85,2.31,4.65,5.45,5.33,,0.03,10.5,1.0,1.4,14.95,21.49,0.47,3.89,0.67,3.96,4.53,4.36,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2021-01-01,5297.0,78.56,2103.0,8.73,3.63,1.32,11.64,10.53,1.44,2.29,2.56,4.62,,0.04,15.7,1.7,2.7,11.46,8.59,0.41,1.81,0.22,0.94,1.9,2.21,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2020-01-01,2966.0,34.43,276.0,2.4,3.61,0.83,6.99,6.13,0.34,0.26,0.24,0.65,,0.03,35.6,4.4,4.5,41.72,14.31,1.21,6.52,0.13,0.44,1.11,5.31,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2019-01-01,4524.0,11.63,6104.0,9.65,3.99,0.91,8.83,7.76,5.38,8.48,9.64,11.91,,0.04,9.6,1.8,2.5,10.36,11.33,2.92,9.19,0.45,3.08,4.33,6.27,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2018-01-01,4053.0,37.64,5492.0,8.71,3.54,0.84,7.15,6.67,4.8,7.95,8.67,9.68,,0.05,9.7,1.9,2.7,11.48,13.99,5.56,12.47,0.38,2.64,3.22,6.91,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2017-01-01,6498.0,0.76,7030.0,18.16,6.19,1.31,15.74,13.43,6.69,11.7,12.67,17.03,,0.05,7.7,1.6,2.6,5.51,6.35,7.2,3.23,0.19,1.55,2.25,3.97,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2016-01-01,6548.0,26.39,7475.0,18.59,6.5,1.46,12.56,11.27,7.42,12.31,13.4,14.34,,0.05,7.8,1.7,2.8,5.38,7.96,0.07,3.61,0.3,2.22,2.58,3.67,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2015-01-01,5181.0,11.82,5842.0,17.29,6.01,1.18,9.97,8.72,6.78,11.36,12.17,11.24,,0.05,8.0,1.7,2.9,5.78,10.03,17.95,13.31,0.24,2.06,2.04,4.64,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2014-01-01,4633.0,147.61,5137.0,27.43,6.69,1.32,12.74,13.95,7.41,16.49,18.04,14.12,,0.05,6.0,1.2,2.3,3.65,7.85,129.96,127.21,0.23,2.62,2.25,2.75,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACW,2013-01-01,1871.0,111.58,1970.0,41.47,6.11,2.31,40.08,37.23,6.43,18.09,25.46,42.2,,0.05,6.0,0.7,1.3,2.41,2.49,24.13,21.76,0.3,2.26,5.28,2.37,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
